i1 i2 i0 a
0 0 9 3
0 1 9 1
0 2 9 1
0 3 9 1
0 4 9 3
0 5 9 3
0 6 9 3
0 7 9 3
0 8 9 3
1 0 9 2
1 1 9 0
1 2 9 0
1 3 9 0
1 4 9 0
2 0 9 3
2 1 9 0
2 2 9 0
2 3 9 0
2 4 9 0
2 5 9 0
2 6 9 0
3 0 9 3
3 2 9 0
3 3 9 0
3 4 9 0
3 5 9 0
3 6 9 3
3 7 9 3
4 0 9 3
4 3 9 1
4 4 9 3
4 5 9 3
4 6 9 3
4 7 9 3
4 8 9 3
i1 i2 i0 a
0 0 9 3
0 1 9 1
0 2 9 1
0 3 9 1
0 4 9 3
0 5 9 3
0 6 9 3
0 7 9 3
0 8 9 3
1 0 9 2
1 1 9 0
1 2 9 0
1 3 9 0
1 4 9 0
2 0 9 3
2 1 9 0
2 2 9 0
2 3 9 0
2 4 9 0
2 5 9 0
2 6 9 0
3 0 9 3
3 2 9 0
3 3 9 0
3 4 9 0
3 5 9 0
3 6 9 3
3 7 9 3
4 0 9 3
4 3 9 1
4 4 9 3
4 5 9 3
4 6 9 3
4 7 9 3
4 8 9 3
