i1 i2 i0 a
0 0 11 3
0 1 11 1
0 2 11 1
0 3 11 1
0 4 11 1
0 5 11 3
0 6 11 3
1 0 11 2
1 1 11 0
1 2 11 0
1 3 11 0
1 4 11 0
2 0 11 3
2 1 11 0
2 2 11 0
2 3 11 0
2 4 11 0
2 5 11 0
3 0 11 3
3 2 11 0
3 3 11 0
3 4 11 0
3 5 11 0
3 6 11 3
4 0 11 3
4 3 11 1
4 4 11 1
4 5 11 3
4 6 11 3
i1 i2 i0 a
0 0 11 3
0 1 11 1
0 2 11 1
0 3 11 1
0 4 11 1
0 5 11 3
0 6 11 3
1 0 11 2
1 1 11 0
1 2 11 0
1 3 11 0
1 4 11 0
2 0 11 3
2 1 11 0
2 2 11 0
2 3 11 0
2 4 11 0
2 5 11 0
3 0 11 3
3 2 11 0
3 3 11 0
3 4 11 0
3 5 11 0
3 6 11 3
4 0 11 3
4 3 11 1
4 4 11 1
4 5 11 3
4 6 11 3
