i1 i2 i0 a
0 0 10 3
0 1 10 1
0 2 10 1
0 3 10 3
0 4 10 3
0 5 10 3
0 6 10 3
0 7 10 3
0 8 10 3
0 9 10 3
0 10 10 3
0 11 10 3
0 12 10 3
1 0 10 2
1 1 10 0
1 2 10 0
1 3 10 0
1 4 10 2
1 5 10 2
1 6 10 2
1 7 10 2
1 8 10 2
1 9 10 2
1 10 10 2
1 11 10 2
1 12 10 2
2 0 10 3
2 1 10 1
2 2 10 1
2 3 10 3
2 4 10 3
2 5 10 3
2 6 10 3
2 7 10 3
2 8 10 3
2 9 10 3
2 10 10 3
2 11 10 3
2 12 10 2
3 0 10 3
3 1 10 1
3 2 10 1
3 3 10 3
3 4 10 3
3 5 10 3
3 6 10 3
3 7 10 3
3 8 10 3
3 9 10 3
3 10 10 3
3 11 10 3
3 12 10 2
4 0 10 3
4 1 10 1
4 2 10 1
4 3 10 3
4 4 10 3
4 5 10 3
4 6 10 3
4 7 10 3
4 8 10 3
4 9 10 0
4 10 10 0
4 11 10 0
4 12 10 2
5 0 10 3
5 1 10 1
5 2 10 1
5 3 10 3
5 4 10 3
5 5 10 3
5 6 10 3
5 7 10 3
5 8 10 3
5 9 10 3
5 10 10 3
5 11 10 3
5 12 10 2
6 0 10 2
6 1 10 0
6 2 10 0
6 3 10 0
6 4 10 0
6 5 10 0
6 6 10 0
6 7 10 0
6 8 10 0
6 9 10 0
6 10 10 0
6 11 10 0
6 12 10 2
7 0 10 2
7 1 10 0
7 2 10 0
7 3 10 0
7 4 10 0
7 5 10 0
7 6 10 0
7 7 10 0
7 8 10 0
7 9 10 0
7 10 10 0
7 11 10 0
7 12 10 2
8 0 10 2
8 1 10 0
8 2 10 0
8 3 10 0
8 4 10 0
8 5 10 0
8 6 10 0
8 7 10 0
8 8 10 0
8 9 10 0
8 10 10 0
8 11 10 0
8 12 10 2
9 0 10 2
9 1 10 0
9 2 10 0
9 3 10 0
9 4 10 0
9 5 10 0
9 6 10 0
9 7 10 0
9 8 10 0
9 9 10 0
9 10 10 0
9 11 10 0
9 12 10 2
10 0 10 2
10 1 10 0
10 2 10 0
10 3 10 0
10 4 10 0
10 5 10 0
10 6 10 0
10 7 10 0
10 8 10 0
10 9 10 0
10 10 10 0
10 11 10 0
10 12 10 2
11 0 10 2
11 1 10 0
11 2 10 0
11 3 10 0
11 4 10 0
11 5 10 0
11 6 10 0
11 7 10 0
11 8 10 0
11 9 10 0
11 10 10 0
11 11 10 0
11 12 10 2
12 0 10 3
12 1 10 1
12 2 10 1
12 3 10 1
12 4 10 1
12 5 10 1
12 6 10 1
12 7 10 1
12 8 10 1
12 9 10 1
12 10 10 1
12 11 10 1
12 12 10 3
