i1 i2 i0 a
0 0 11 3
0 1 11 1
0 2 11 1
0 3 11 1
0 4 11 1
0 5 11 3
0 6 11 3
0 7 11 3
0 8 11 3
0 9 11 3
0 10 11 3
0 11 11 3
0 12 11 3
1 0 11 2
1 1 11 0
1 2 11 0
1 3 11 0
1 4 11 0
1 5 11 0
1 6 11 2
1 7 11 2
1 8 11 2
1 9 11 2
1 10 11 2
1 11 11 2
1 12 11 2
2 0 11 2
2 1 11 0
2 2 11 0
2 3 11 0
2 4 11 0
2 5 11 0
2 6 11 2
2 7 11 2
2 8 11 2
2 9 11 2
2 10 11 2
2 11 11 2
2 12 11 2
3 0 11 3
3 1 11 1
3 2 11 1
3 3 11 1
3 4 11 1
3 5 11 3
3 6 11 3
3 7 11 3
3 8 11 3
3 9 11 3
3 10 11 3
3 11 11 3
3 12 11 3
4 0 11 3
4 1 11 1
4 2 11 1
4 3 11 1
4 4 11 1
4 5 11 3
4 6 11 3
4 7 11 3
4 8 11 3
4 9 11 3
4 10 11 3
4 11 11 3
4 12 11 3
5 0 11 3
5 1 11 1
5 2 11 1
5 3 11 1
5 4 11 1
5 5 11 3
5 6 11 3
5 7 11 3
5 8 11 3
5 9 11 3
5 10 11 3
5 11 11 3
5 12 11 3
6 0 11 3
6 1 11 1
6 2 11 1
6 3 11 1
6 4 11 1
6 5 11 3
6 6 11 3
6 7 11 3
6 8 11 3
6 9 11 3
6 10 11 3
6 11 11 3
6 12 11 3
7 0 11 2
7 1 11 0
7 2 11 0
7 3 11 0
7 4 11 0
7 5 11 0
7 6 11 0
7 7 11 0
7 8 11 0
7 9 11 0
7 10 11 0
7 11 11 0
7 12 11 2
8 0 11 2
8 1 11 0
8 2 11 0
8 3 11 0
8 4 11 0
8 5 11 0
8 6 11 0
8 7 11 0
8 8 11 0
8 9 11 0
8 10 11 0
8 11 11 0
8 12 11 2
9 0 11 2
9 1 11 0
9 2 11 0
9 3 11 0
9 4 11 0
9 5 11 0
9 6 11 0
9 7 11 0
9 8 11 0
9 9 11 0
9 10 11 0
9 11 11 0
9 12 11 2
10 0 11 2
10 1 11 0
10 2 11 0
10 3 11 0
10 4 11 0
10 5 11 0
10 6 11 0
10 7 11 0
10 8 11 0
10 9 11 0
10 10 11 0
10 11 11 0
10 12 11 2
11 0 11 2
11 1 11 0
11 2 11 0
11 3 11 0
11 4 11 0
11 5 11 0
11 6 11 0
11 7 11 0
11 8 11 0
11 9 11 0
11 10 11 0
11 11 11 0
11 12 11 2
12 0 11 3
12 1 11 1
12 2 11 1
12 3 11 1
12 4 11 1
12 5 11 1
12 6 11 1
12 7 11 1
12 8 11 1
12 9 11 1
12 10 11 1
12 11 11 1
12 12 11 3
