i1 i2 i0 a
0 0 5 3
0 1 5 1
0 2 5 1
0 3 5 1
0 4 5 1
0 5 5 1
0 6 5 1
0 7 5 1
0 8 5 1
0 9 5 1
0 10 5 1
0 11 5 1
0 12 5 3
1 0 5 2
1 1 5 0
1 2 5 0
1 3 5 0
1 4 5 0
1 5 5 0
1 6 5 0
1 7 5 0
1 8 5 0
1 9 5 0
1 10 5 0
1 11 5 0
1 12 5 2
2 0 5 2
2 1 5 0
2 2 5 0
2 3 5 0
2 4 5 0
2 5 5 0
2 6 5 0
2 7 5 0
2 8 5 0
2 9 5 0
2 10 5 0
2 11 5 0
2 12 5 2
3 0 5 2
3 1 5 0
3 2 5 0
3 3 5 0
3 4 5 0
3 5 5 0
3 6 5 0
3 7 5 0
3 8 5 0
3 9 5 0
3 10 5 0
3 11 5 0
3 12 5 2
4 0 5 2
4 1 5 0
4 2 5 0
4 3 5 0
4 4 5 0
4 5 5 0
4 6 5 0
4 7 5 0
4 8 5 0
4 9 5 0
4 10 5 0
4 11 5 0
4 12 5 2
5 0 5 2
5 1 5 0
5 2 5 0
5 3 5 0
5 4 5 0
5 5 5 0
5 6 5 0
5 7 5 0
5 8 5 0
5 9 5 0
5 10 5 0
5 11 5 0
5 12 5 2
6 0 5 2
6 1 5 0
6 2 5 0
6 3 5 0
6 4 5 0
6 5 5 0
6 6 5 0
6 7 5 0
6 8 5 0
6 9 5 0
6 10 5 0
6 11 5 0
6 12 5 2
7 0 5 2
7 1 5 0
7 2 5 0
7 3 5 0
7 4 5 0
7 5 5 0
7 6 5 0
7 7 5 0
7 8 5 0
7 9 5 0
7 10 5 0
7 11 5 0
7 12 5 2
8 0 5 2
8 1 5 0
8 2 5 0
8 3 5 0
8 4 5 0
8 5 5 0
8 6 5 0
8 7 5 0
8 8 5 0
8 9 5 0
8 10 5 0
8 11 5 0
8 12 5 2
9 0 5 3
9 1 5 1
9 2 5 1
9 3 5 1
9 4 5 1
9 5 5 1
9 6 5 1
9 7 5 1
9 8 5 1
9 9 5 1
9 10 5 1
9 11 5 1
9 12 5 3
10 0 5 3
10 1 5 1
10 2 5 1
10 3 5 1
10 4 5 1
10 5 5 1
10 6 5 1
10 7 5 1
10 8 5 1
10 9 5 1
10 10 5 1
10 11 5 1
10 12 5 3
11 0 5 3
11 1 5 1
11 2 5 1
11 3 5 1
11 4 5 1
11 5 5 1
11 6 5 1
11 7 5 1
11 8 5 1
11 9 5 1
11 10 5 1
11 11 5 1
11 12 5 3
12 0 5 3
12 1 5 1
12 2 5 1
12 3 5 1
12 4 5 1
12 5 5 1
12 6 5 1
12 7 5 1
12 8 5 1
12 9 5 1
12 10 5 1
12 11 5 1
12 12 5 3
