year Amhara Oromia Sidama SNNP Tigray
201718 -1000 1955 -1000 4613 7363
201819 -1000 -1000 -1000 -1000 -1000
201920 4791 6266 -1000 5742 2859
202021 -1000 -1000 -1000 -1000 -1000
202122 -1000 -1000 -1000 -1000 -1000
202122 5702 3414 8750 6324 -1000
