year Amhara Oromia Sidama SNNP Tigray
201617 6845 6510 -1000 14700 12263
201718 13686 7140 -1000 20088 13890
201819 10003 16634 -1000 6430 10379
201920 11182 19542 -1000 16136 4122
202021 10739 6540 -1000 10160 -1000
202122 -1000 -1000 -1000 -1000 -1000
