year Amhara Oromia Sidama SNNP Tigray
201617 -1000 -1000 -1000 -1000 -1000
201718 4790 4738 -1000 18354 4300
201819 -1000 -1000 -1000 -1000 -1000
201920 7486 9846 -1000 11737 5733
202021 7719 4822 -1000 8720 -1000
202122 9311 5409 14255 5810 -1000
