i1 i2 i0 a
0 0 12 3
0 1 12 1
0 2 12 1
0 3 12 1
0 4 12 1
0 5 12 3
0 6 12 3
1 0 12 2
1 1 12 0
1 2 12 0
1 3 12 0
1 4 12 0
2 0 12 3
2 1 12 0
2 2 12 0
2 3 12 0
2 4 12 0
2 5 12 0
3 0 12 3
3 2 12 0
3 3 12 0
3 4 12 0
3 5 12 0
3 6 12 3
4 0 12 3
4 3 12 1
4 4 12 1
4 5 12 3
4 6 12 3
