i1 i2 i0 a
1 1 11 0
1 2 11 0
1 3 11 0
1 4 11 0
1 5 11 0
1 6 11 0
1 7 11 0
1 8 11 0
1 9 11 0
2 1 11 0
2 2 11 0
2 3 11 0
2 4 11 0
2 5 11 0
2 6 11 0
2 7 11 0
2 8 11 0
2 9 11 0
3 1 11 0
3 2 11 1
3 3 11 0
3 4 11 0
3 5 11 0
3 6 11 0
3 7 11 0
3 8 11 0
3 9 11 3
4 1 11 0
4 2 11 0
4 3 11 1
4 4 11 0
4 5 11 1
4 6 11 1
4 7 11 3
4 8 11 1
4 9 11 0
5 1 11 1
5 2 11 1
5 3 11 1
5 4 11 1
5 5 11 1
5 6 11 1
5 7 11 1
5 8 11 1
5 9 11 3
i1 i2 i0 a
1 1 11 0
1 2 11 0
1 3 11 0
1 4 11 0
1 5 11 0
1 6 11 0
1 7 11 0
1 8 11 0
1 9 11 0
2 1 11 0
2 2 11 0
2 3 11 0
2 4 11 0
2 5 11 0
2 6 11 0
2 7 11 0
2 8 11 0
2 9 11 0
3 1 11 0
3 2 11 1
3 3 11 0
3 4 11 0
3 5 11 0
3 6 11 0
3 7 11 0
3 8 11 0
3 9 11 3
4 1 11 0
4 2 11 0
4 3 11 1
4 4 11 0
4 5 11 1
4 6 11 1
4 7 11 3
4 8 11 1
4 9 11 0
5 1 11 1
5 2 11 1
5 3 11 1
5 4 11 1
5 5 11 1
5 6 11 1
5 7 11 1
5 8 11 1
5 9 11 3
i1 i2 i0 a
1 1 11 0
1 2 11 0
1 3 11 0
1 4 11 0
1 5 11 0
1 6 11 0
1 7 11 0
1 8 11 0
1 9 11 0
2 1 11 0
2 2 11 0
2 3 11 0
2 4 11 0
2 5 11 0
2 6 11 0
2 7 11 0
2 8 11 0
2 9 11 0
3 1 11 0
3 2 11 1
3 3 11 0
3 4 11 0
3 5 11 0
3 6 11 0
3 7 11 0
3 8 11 0
3 9 11 3
4 1 11 0
4 2 11 0
4 3 11 1
4 4 11 0
4 5 11 1
4 6 11 1
4 7 11 3
4 8 11 1
4 9 11 0
5 1 11 1
5 2 11 1
5 3 11 1
5 4 11 1
5 5 11 1
5 6 11 1
5 7 11 1
5 8 11 1
5 9 11 3
