i1 i2 i0 a
1 1 8 0
1 2 8 0
1 3 8 0
1 4 8 0
1 5 8 0
1 6 8 0
1 7 8 0
1 8 8 0
1 9 8 0
2 1 8 0
2 2 8 0
2 3 8 0
2 4 8 0
2 5 8 0
2 6 8 0
2 7 8 0
2 8 8 0
2 9 8 0
3 1 8 0
3 2 8 0
3 3 8 0
3 4 8 0
3 5 8 0
3 6 8 1
3 7 8 0
3 8 8 0
3 9 8 0
4 1 8 1
4 2 8 0
4 3 8 1
4 4 8 1
4 5 8 1
4 6 8 1
4 7 8 3
4 8 8 0
4 9 8 3
5 1 8 1
5 2 8 1
5 3 8 1
5 4 8 1
5 5 8 1
5 6 8 1
5 7 8 1
5 8 8 1
5 9 8 1
i1 i2 i0 a
1 1 8 0
1 2 8 0
1 3 8 0
1 4 8 0
1 5 8 0
1 6 8 0
1 7 8 0
1 8 8 0
1 9 8 0
2 1 8 0
2 2 8 0
2 3 8 0
2 4 8 0
2 5 8 0
2 6 8 0
2 7 8 0
2 8 8 0
2 9 8 0
3 1 8 0
3 2 8 0
3 3 8 0
3 4 8 0
3 5 8 0
3 6 8 1
3 7 8 0
3 8 8 0
3 9 8 0
4 1 8 1
4 2 8 0
4 3 8 1
4 4 8 1
4 5 8 1
4 6 8 1
4 7 8 3
4 8 8 0
4 9 8 3
5 1 8 1
5 2 8 1
5 3 8 1
5 4 8 1
5 5 8 1
5 6 8 1
5 7 8 1
5 8 8 1
5 9 8 1
i1 i2 i0 a
1 1 8 0
1 2 8 0
1 3 8 0
1 4 8 0
1 5 8 0
1 6 8 0
1 7 8 0
1 8 8 0
1 9 8 0
2 1 8 0
2 2 8 0
2 3 8 0
2 4 8 0
2 5 8 0
2 6 8 0
2 7 8 0
2 8 8 0
2 9 8 0
3 1 8 0
3 2 8 0
3 3 8 0
3 4 8 0
3 5 8 0
3 6 8 1
3 7 8 0
3 8 8 0
3 9 8 0
4 1 8 1
4 2 8 0
4 3 8 1
4 4 8 1
4 5 8 1
4 6 8 1
4 7 8 3
4 8 8 0
4 9 8 3
5 1 8 1
5 2 8 1
5 3 8 1
5 4 8 1
5 5 8 1
5 6 8 1
5 7 8 1
5 8 8 1
5 9 8 1
