i1 i2 i0 a
1 1 3 0
1 2 3 0
1 3 3 0
1 4 3 0
1 5 3 0
1 6 3 0
1 7 3 0
1 8 3 0
1 9 3 0
2 1 3 0
2 2 3 0
2 3 3 0
2 4 3 0
2 5 3 0
2 6 3 0
2 7 3 0
2 8 3 0
2 9 3 0
3 1 3 0
3 2 3 0
3 3 3 0
3 4 3 0
3 5 3 0
3 6 3 0
3 7 3 0
3 8 3 0
3 9 3 0
4 1 3 0
4 2 3 0
4 3 3 1
4 4 3 0
4 5 3 0
4 6 3 0
4 7 3 0
4 8 3 0
4 9 3 0
5 1 3 1
5 2 3 1
5 3 3 1
5 4 3 0
5 5 3 1
5 6 3 1
5 7 3 1
5 8 3 0
5 9 3 1
i1 i2 i0 a
1 1 3 0
1 2 3 0
1 3 3 0
1 4 3 0
1 5 3 0
1 6 3 0
1 7 3 0
1 8 3 0
1 9 3 0
2 1 3 0
2 2 3 0
2 3 3 0
2 4 3 0
2 5 3 0
2 6 3 0
2 7 3 0
2 8 3 0
2 9 3 0
3 1 3 0
3 2 3 0
3 3 3 0
3 4 3 0
3 5 3 0
3 6 3 0
3 7 3 0
3 8 3 0
3 9 3 0
4 1 3 0
4 2 3 0
4 3 3 1
4 4 3 0
4 5 3 0
4 6 3 0
4 7 3 0
4 8 3 0
4 9 3 0
5 1 3 1
5 2 3 1
5 3 3 1
5 4 3 0
5 5 3 1
5 6 3 1
5 7 3 1
5 8 3 0
5 9 3 1
i1 i2 i0 a
1 1 3 0
1 2 3 0
1 3 3 0
1 4 3 0
1 5 3 0
1 6 3 0
1 7 3 0
1 8 3 0
1 9 3 0
2 1 3 0
2 2 3 0
2 3 3 0
2 4 3 0
2 5 3 0
2 6 3 0
2 7 3 0
2 8 3 0
2 9 3 0
3 1 3 0
3 2 3 0
3 3 3 0
3 4 3 0
3 5 3 0
3 6 3 0
3 7 3 0
3 8 3 0
3 9 3 0
4 1 3 0
4 2 3 0
4 3 3 1
4 4 3 0
4 5 3 0
4 6 3 0
4 7 3 0
4 8 3 0
4 9 3 0
5 1 3 1
5 2 3 1
5 3 3 1
5 4 3 0
5 5 3 1
5 6 3 1
5 7 3 1
5 8 3 0
5 9 3 1
