i1 i2 i0 a
1 1 9 0
1 2 9 0
1 3 9 0
1 4 9 0
1 5 9 0
1 6 9 0
1 7 9 0
1 8 9 0
1 9 9 0
2 1 9 0
2 2 9 0
2 3 9 0
2 4 9 0
2 5 9 0
2 6 9 0
2 7 9 0
2 8 9 0
2 9 9 0
3 1 9 0
3 2 9 0
3 3 9 0
3 4 9 1
3 5 9 0
3 6 9 0
3 7 9 0
3 8 9 3
3 9 9 3
4 1 9 1
4 2 9 1
4 3 9 0
4 4 9 1
4 5 9 1
4 6 9 1
4 7 9 3
4 8 9 3
4 9 9 0
5 1 9 1
5 2 9 1
5 3 9 1
5 4 9 1
5 5 9 0
5 6 9 1
5 7 9 1
5 8 9 3
5 9 9 3
i1 i2 i0 a
1 1 9 0
1 2 9 0
1 3 9 0
1 4 9 0
1 5 9 0
1 6 9 0
1 7 9 0
1 8 9 0
1 9 9 0
2 1 9 0
2 2 9 0
2 3 9 0
2 4 9 0
2 5 9 0
2 6 9 0
2 7 9 0
2 8 9 0
2 9 9 0
3 1 9 0
3 2 9 0
3 3 9 0
3 4 9 1
3 5 9 0
3 6 9 0
3 7 9 0
3 8 9 3
3 9 9 3
4 1 9 1
4 2 9 1
4 3 9 0
4 4 9 1
4 5 9 1
4 6 9 1
4 7 9 3
4 8 9 3
4 9 9 0
5 1 9 1
5 2 9 1
5 3 9 1
5 4 9 1
5 5 9 0
5 6 9 1
5 7 9 1
5 8 9 3
5 9 9 3
i1 i2 i0 a
1 1 9 0
1 2 9 0
1 3 9 0
1 4 9 0
1 5 9 0
1 6 9 0
1 7 9 0
1 8 9 0
1 9 9 0
2 1 9 0
2 2 9 0
2 3 9 0
2 4 9 0
2 5 9 0
2 6 9 0
2 7 9 0
2 8 9 0
2 9 9 0
3 1 9 0
3 2 9 0
3 3 9 0
3 4 9 1
3 5 9 0
3 6 9 0
3 7 9 0
3 8 9 3
3 9 9 3
4 1 9 1
4 2 9 1
4 3 9 0
4 4 9 1
4 5 9 1
4 6 9 1
4 7 9 3
4 8 9 3
4 9 9 0
5 1 9 1
5 2 9 1
5 3 9 1
5 4 9 1
5 5 9 0
5 6 9 1
5 7 9 1
5 8 9 3
5 9 9 3
