i1 i2 i0 a
0 0 7 3
0 1 7 1
0 2 7 1
0 3 7 1
0 4 7 3
0 5 7 3
0 6 7 3
0 7 7 3
0 8 7 3
0 9 7 3
0 10 7 3
0 11 7 3
0 12 7 3
1 0 7 2
1 1 7 0
1 2 7 0
1 3 7 0
1 4 7 0
1 5 7 0
1 6 7 0
1 7 7 2
1 8 7 2
1 9 7 2
1 10 7 2
1 11 7 2
1 12 7 2
2 0 7 3
2 1 7 1
2 2 7 1
2 3 7 1
2 4 7 3
2 5 7 3
2 6 7 3
2 7 7 3
2 8 7 3
2 9 7 3
2 10 7 3
2 11 7 3
2 12 7 3
3 0 7 3
3 1 7 1
3 2 7 1
3 3 7 1
3 4 7 3
3 5 7 3
3 6 7 3
3 7 7 3
3 8 7 3
3 9 7 3
3 10 7 3
3 11 7 3
3 12 7 3
4 0 7 3
4 1 7 1
4 2 7 1
4 3 7 1
4 4 7 3
4 5 7 3
4 6 7 3
4 7 7 3
4 8 7 3
4 9 7 3
5 0 7 3
5 1 7 1
5 2 7 1
5 3 7 1
5 4 7 3
5 5 7 3
5 6 7 3
5 7 7 3
5 8 7 3
5 9 7 3
5 10 7 3
5 11 7 3
5 12 7 3
6 0 7 3
6 1 7 1
6 2 7 1
6 3 7 1
6 4 7 3
6 5 7 3
6 6 7 3
6 7 7 3
6 8 7 3
6 9 7 3
6 10 7 3
6 11 7 3
6 12 7 3
