i1 i2 i0 a
0 0 11 3
0 1 11 1
0 2 11 1
0 3 11 1
0 4 11 3
0 5 11 3
0 6 11 3
0 7 11 3
0 8 11 3
0 9 11 3
0 10 11 3
1 0 11 2
1 1 11 0
1 2 11 0
1 3 11 0
1 4 11 0
1 5 11 0
1 6 11 2
1 7 11 2
1 8 11 2
1 9 11 2
1 10 11 2
2 0 11 3
2 1 11 1
2 2 11 1
2 3 11 1
2 4 11 3
2 5 11 3
2 6 11 3
2 7 11 3
2 8 11 3
2 9 11 3
2 10 11 3
3 0 11 3
3 1 11 1
3 2 11 1
3 3 11 1
3 4 11 3
3 5 11 3
3 6 11 3
3 7 11 3
3 8 11 3
3 9 11 3
3 10 11 3
4 0 11 3
4 1 11 1
4 2 11 1
4 3 11 1
4 4 11 3
4 5 11 3
4 6 11 3
4 7 11 3
5 0 11 3
5 1 11 1
5 2 11 1
5 3 11 1
5 4 11 3
5 5 11 3
5 6 11 3
5 7 11 3
5 8 11 3
5 9 11 3
5 10 11 3
